id_cliente,fecha_actualizacion,tipo_empleo,empresa,sector_economico,cargo,antiguedad_meses,ingreso_mensual,tipo_contrato,ciudad,estado_empleo
C00101,2026-03-19,INDEPENDIENTE,Actividad independiente,Industria,Profesional independiente,115,4054.42,INDEPENDIENTE,Cochabamba,ACTIVO
C00102,2026-03-24,DEPENDIENTE,Empresa 852,Agricultura,Administrador,156,3117.84,INDEFINIDO,Cochabamba,ACTIVO
C00103,2026-07-15,DEPENDIENTE,Empresa 121,Salud,Consultor,217,15838.01,TEMPORAL,Tarija,ACTIVO
C00104,2026-02-16,INDEPENDIENTE,Actividad independiente,Agricultura,Consultor,135,10643.87,INDEPENDIENTE,Sucre,ACTIVO
C00105,2026-06-21,DEPENDIENTE,Empresa 428,Comercio,Ingeniero,123,7893.4,INDEFINIDO,Potosi,ACTIVO
C00106,2026-07-14,DEPENDIENTE,Empresa 933,Servicios,Administrador,76,12770.04,PLAZO_FIJO,La Paz,ACTIVO
C00107,2026-05-12,DEPENDIENTE,Empresa 985,Banca,Administrador,32,17537.86,PLAZO_FIJO,Oruro,ACTIVO
C00108,2026-05-08,DEPENDIENTE,Empresa 874,Transporte,Consultor,51,10535.81,INDEFINIDO,Potosi,ACTIVO
C00109,2026-02-01,DEPENDIENTE,Empresa 596,Banca,Director,240,6964.45,INDEFINIDO,Oruro,ACTIVO
C00110,2026-01-24,DEPENDIENTE,Empresa 517,Educacion,Tecnico,82,11038.0,INDEFINIDO,Potosi,ACTIVO
C00111,2026-03-16,DEPENDIENTE,Empresa 833,Servicios,Vendedor,168,15398.22,INDEFINIDO,Oruro,ACTIVO
C00112,2026-02-18,EMPRESARIO,Empresa PYME 492,Agricultura,Propietario,65,16419.66,PROPIETARIO,Tarija,ACTIVO
C00113,2026-08-28,DEPENDIENTE,Empresa 448,Servicios,Administrador,73,14476.46,INDEFINIDO,Cochabamba,ACTIVO
C00114,2026-08-10,DEPENDIENTE,Empresa 601,Construccion,Comerciante,217,11597.53,PLAZO_FIJO,Sucre,ACTIVO
C00115,2026-08-11,DEPENDIENTE,Empresa 429,Educacion,Vendedor,198,10923.17,TEMPORAL,Oruro,ACTIVO
C00116,2026-08-22,DEPENDIENTE,Empresa 822,Industria,Vendedor,14,7431.73,PLAZO_FIJO,Sucre,INACTIVO
C00117,2026-05-09,INDEPENDIENTE,Actividad independiente,Agricultura,Comerciante,129,14560.31,INDEPENDIENTE,Cochabamba,ACTIVO
C00118,2026-07-04,EMPRESARIO,Empresa PYME 115,Construccion,Director,28,18148.78,PROPIETARIO,Sucre,ACTIVO
C00119,2026-03-09,JUBILADO,Sistema de Pensiones,Tecnologia,Jubilado,123,7514.37,JUBILACION,Tarija,ACTIVO
C00120,2026-04-08,INDEPENDIENTE,Actividad independiente,Tecnologia,Profesional independiente,221,10929.47,INDEPENDIENTE,Oruro,ACTIVO
C00121,2026-06-25,INDEPENDIENTE,Actividad independiente,Salud,Profesional independiente,161,3355.26,INDEPENDIENTE,Santa Cruz,ACTIVO
C00122,2026-02-12,DEPENDIENTE,Empresa 554,Salud,Supervisor,197,12323.09,INDEFINIDO,La Paz,ACTIVO
C00123,2026-03-04,INDEPENDIENTE,Actividad independiente,Servicios,Comerciante,94,7185.51,INDEPENDIENTE,Sucre,ACTIVO
C00124,2026-06-08,INDEPENDIENTE,Actividad independiente,Educacion,Consultor,47,3487.1,INDEPENDIENTE,Sucre,ACTIVO
C00125,2026-01-03,DEPENDIENTE,Empresa 782,Transporte,Contador,166,6436.65,PLAZO_FIJO,Cochabamba,ACTIVO
C00126,2026-09-04,DEPENDIENTE,Empresa 754,Industria,Contador,91,17808.6,PLAZO_FIJO,Oruro,ACTIVO
C00127,2026-04-08,EMPRESARIO,Empresa PYME 342,Agricultura,Propietario,101,26333.39,PROPIETARIO,Cochabamba,ACTIVO
C00128,2026-06-18,JUBILADO,Sistema de Pensiones,Industria,Jubilado,8,8850.02,JUBILACION,Cochabamba,ACTIVO
C00129,2026-08-20,EMPRESARIO,Empresa PYME 952,Salud,Director,236,20160.16,PROPIETARIO,Potosi,ACTIVO
C00130,2026-06-23,DEPENDIENTE,Empresa 356,Construccion,Consultor,59,12367.58,PLAZO_FIJO,Oruro,ACTIVO
C00131,2026-05-29,INDEPENDIENTE,Actividad independiente,Tecnologia,Comerciante,82,12357.63,INDEPENDIENTE,Oruro,ACTIVO
C00132,2026-07-21,EMPRESARIO,Empresa PYME 235,Servicios,Propietario,194,15387.58,PROPIETARIO,Cochabamba,ACTIVO
C00133,2026-03-17,EMPRESARIO,Empresa PYME 925,Tecnologia,Director,68,27851.22,PROPIETARIO,Potosi,ACTIVO
C00134,2026-08-09,JUBILADO,Sistema de Pensiones,Industria,Jubilado,196,8772.2,JUBILACION,Potosi,ACTIVO
C00135,2026-04-05,DEPENDIENTE,Empresa 565,Salud,Supervisor,6,6599.11,PLAZO_FIJO,Tarija,ACTIVO
C00136,2026-01-07,INDEPENDIENTE,Actividad independiente,Agricultura,Consultor,30,10935.46,INDEPENDIENTE,Tarija,ACTIVO
C00137,2026-03-19,DEPENDIENTE,Empresa 817,Industria,Vendedor,19,12348.76,TEMPORAL,La Paz,ACTIVO
C00138,2026-03-02,JUBILADO,Sistema de Pensiones,Servicios,Jubilado,129,2989.62,JUBILACION,Santa Cruz,ACTIVO
C00139,2026-07-10,DEPENDIENTE,Empresa 701,Construccion,Administrador,181,17162.6,TEMPORAL,Sucre,ACTIVO
C00140,2026-04-24,EMPRESARIO,Empresa PYME 322,Transporte,Director,74,5817.91,PROPIETARIO,Santa Cruz,ACTIVO
C00141,2026-01-16,DEPENDIENTE,Empresa 467,Industria,Comerciante,97,10939.22,TEMPORAL,Cochabamba,ACTIVO
C00142,2026-06-02,DEPENDIENTE,Empresa 754,Banca,Comerciante,26,12772.92,PLAZO_FIJO,La Paz,ACTIVO
C00143,2026-07-15,DEPENDIENTE,Empresa 949,Servicios,Supervisor,204,11250.96,INDEFINIDO,Santa Cruz,ACTIVO
C00144,2026-01-01,INDEPENDIENTE,Actividad independiente,Salud,Profesional independiente,87,12179.61,INDEPENDIENTE,Potosi,INACTIVO
C00145,2026-06-19,JUBILADO,Sistema de Pensiones,Banca,Jubilado,207,3386.58,JUBILACION,Santa Cruz,ACTIVO
C00146,2026-03-09,INDEPENDIENTE,Actividad independiente,Banca,Comerciante,153,6547.14,INDEPENDIENTE,Santa Cruz,ACTIVO
C00147,2026-05-12,DEPENDIENTE,Empresa 470,Agricultura,Especialista,19,9881.81,TEMPORAL,La Paz,ACTIVO
C00148,2026-03-19,DEPENDIENTE,Empresa 633,Transporte,Comerciante,14,13772.27,TEMPORAL,Oruro,INACTIVO
C00149,2026-05-06,DEPENDIENTE,Empresa 210,Transporte,Comerciante,219,8725.07,PLAZO_FIJO,La Paz,ACTIVO
C00150,2026-05-30,DEPENDIENTE,Empresa 748,Servicios,Consultor,19,4455.97,INDEFINIDO,Oruro,ACTIVO
C00151,2026-04-21,JUBILADO,Sistema de Pensiones,Comercio,Jubilado,119,5637.75,JUBILACION,Potosi,ACTIVO
C00152,2026-03-28,EMPRESARIO,Empresa PYME 523,Transporte,Propietario,113,16288.87,PROPIETARIO,Sucre,ACTIVO
C00153,2026-06-25,DEPENDIENTE,Empresa 256,Transporte,Ingeniero,83,12809.17,PLAZO_FIJO,La Paz,ACTIVO
C00154,2026-02-03,DEPENDIENTE,Empresa 931,Servicios,Ingeniero,27,14041.13,PLAZO_FIJO,La Paz,ACTIVO
C00155,2026-06-20,DEPENDIENTE,Empresa 994,Industria,Ingeniero,174,4394.58,PLAZO_FIJO,Potosi,ACTIVO
C00156,2026-05-10,DEPENDIENTE,Empresa 691,Educacion,Supervisor,156,7342.96,PLAZO_FIJO,Santa Cruz,ACTIVO
C00157,2026-07-15,DEPENDIENTE,Empresa 217,Salud,Ingeniero,92,15603.29,INDEFINIDO,Tarija,ACTIVO
C00158,2026-06-14,DEPENDIENTE,Empresa 791,Servicios,Consultor,199,15185.62,TEMPORAL,La Paz,ACTIVO
C00159,2026-07-15,INDEPENDIENTE,Actividad independiente,Salud,Profesional independiente,10,4755.2,INDEPENDIENTE,Cochabamba,ACTIVO
C00160,2026-07-09,DEPENDIENTE,Empresa 245,Banca,Supervisor,147,12688.84,INDEFINIDO,La Paz,ACTIVO
C00161,2026-07-04,DEPENDIENTE,Empresa 419,Tecnologia,Ingeniero,119,7783.89,PLAZO_FIJO,Potosi,INACTIVO
C00162,2026-06-22,DEPENDIENTE,Empresa 150,Comercio,Consultor,42,4939.85,INDEFINIDO,Cochabamba,ACTIVO
C00163,2026-05-12,DEPENDIENTE,Empresa 873,Comercio,Asistente,116,8919.85,TEMPORAL,Cochabamba,ACTIVO
C00164,2026-01-12,DEPENDIENTE,Empresa 415,Educacion,Comerciante,154,10042.81,TEMPORAL,Sucre,INACTIVO
C00165,2026-07-15,DEPENDIENTE,Empresa 240,Salud,Especialista,80,17152.52,INDEFINIDO,Cochabamba,ACTIVO
C00166,2026-06-30,DEPENDIENTE,Empresa 645,Educacion,Administrador,113,5223.27,TEMPORAL,Tarija,ACTIVO
C00167,2026-01-11,INDEPENDIENTE,Actividad independiente,Industria,Profesional independiente,21,7463.39,INDEPENDIENTE,La Paz,ACTIVO
C00168,2026-06-13,DEPENDIENTE,Empresa 826,Industria,Administrador,150,9153.91,PLAZO_FIJO,Cochabamba,ACTIVO
C00169,2026-08-01,DEPENDIENTE,Empresa 571,Tecnologia,Consultor,46,14920.49,PLAZO_FIJO,La Paz,ACTIVO
C00170,2026-08-11,DEPENDIENTE,Empresa 505,Salud,Supervisor,153,8706.97,PLAZO_FIJO,Oruro,ACTIVO
C00171,2026-05-11,DEPENDIENTE,Empresa 643,Educacion,Supervisor,22,10412.49,INDEFINIDO,Potosi,ACTIVO
C00172,2026-02-20,INDEPENDIENTE,Actividad independiente,Construccion,Consultor,63,3785.06,INDEPENDIENTE,Tarija,ACTIVO
C00173,2026-05-07,INDEPENDIENTE,Actividad independiente,Transporte,Profesional independiente,48,14391.15,INDEPENDIENTE,Potosi,ACTIVO
C00174,2026-06-09,DEPENDIENTE,Empresa 750,Tecnologia,Comerciante,239,16171.75,TEMPORAL,Potosi,INACTIVO
C00175,2026-07-23,DEPENDIENTE,Empresa 410,Salud,Comerciante,20,9768.28,PLAZO_FIJO,Tarija,ACTIVO
C00176,2026-08-01,DEPENDIENTE,Empresa 477,Salud,Analista,121,9504.66,PLAZO_FIJO,La Paz,ACTIVO
C00177,2026-04-09,JUBILADO,Sistema de Pensiones,Transporte,Jubilado,160,6239.74,JUBILACION,Tarija,ACTIVO
C00178,2026-06-16,INDEPENDIENTE,Actividad independiente,Educacion,Profesional independiente,118,13863.12,INDEPENDIENTE,Cochabamba,ACTIVO
C00179,2026-01-22,DEPENDIENTE,Empresa 831,Servicios,Ingeniero,118,4104.28,INDEFINIDO,Oruro,ACTIVO
C00180,2026-04-04,DEPENDIENTE,Empresa 262,Tecnologia,Consultor,115,10623.06,PLAZO_FIJO,Cochabamba,ACTIVO
C00181,2026-01-17,INDEPENDIENTE,Actividad independiente,Tecnologia,Consultor,205,10386.08,INDEPENDIENTE,La Paz,ACTIVO
C00182,2026-02-08,DEPENDIENTE,Empresa 994,Tecnologia,Consultor,188,15699.28,PLAZO_FIJO,La Paz,ACTIVO
C00183,2026-04-11,DEPENDIENTE,Empresa 778,Construccion,Director,82,17499.3,PLAZO_FIJO,Tarija,ACTIVO
C00184,2026-02-02,DEPENDIENTE,Empresa 932,Servicios,Ingeniero,99,12474.15,TEMPORAL,La Paz,ACTIVO
C00185,2026-03-29,DEPENDIENTE,Empresa 319,Transporte,Gerente,7,8120.26,PLAZO_FIJO,Santa Cruz,ACTIVO
C00186,2026-07-17,DEPENDIENTE,Empresa 619,Servicios,Supervisor,78,15588.64,INDEFINIDO,Potosi,ACTIVO
C00187,2026-06-02,DEPENDIENTE,Empresa 234,Industria,Consultor,89,16084.09,TEMPORAL,Santa Cruz,ACTIVO
C00188,2026-06-23,EMPRESARIO,Empresa PYME 473,Educacion,Director,187,15941.84,PROPIETARIO,Sucre,ACTIVO
C00189,2026-09-05,INDEPENDIENTE,Actividad independiente,Transporte,Consultor,62,9175.14,INDEPENDIENTE,Potosi,ACTIVO
C00190,2026-05-09,INDEPENDIENTE,Actividad independiente,Servicios,Consultor,121,12117.98,INDEPENDIENTE,Sucre,INACTIVO
C00191,2026-05-04,INDEPENDIENTE,Actividad independiente,Tecnologia,Profesional independiente,226,5625.04,INDEPENDIENTE,Tarija,ACTIVO
C00192,2026-03-11,INDEPENDIENTE,Actividad independiente,Transporte,Comerciante,75,3548.44,INDEPENDIENTE,Tarija,ACTIVO
C00193,2026-04-17,DEPENDIENTE,Empresa 127,Banca,Ingeniero,212,9492.48,INDEFINIDO,Sucre,ACTIVO
C00194,2026-08-03,DEPENDIENTE,Empresa 201,Tecnologia,Ingeniero,98,5980.35,INDEFINIDO,Potosi,ACTIVO
C00195,2026-05-01,DEPENDIENTE,Empresa 822,Transporte,Especialista,181,15382.21,PLAZO_FIJO,Tarija,ACTIVO
C00196,2026-06-05,DEPENDIENTE,Empresa 844,Servicios,Tecnico,58,15441.93,PLAZO_FIJO,Sucre,ACTIVO
C00197,2026-07-23,DEPENDIENTE,Empresa 754,Agricultura,Administrador,34,3240.12,PLAZO_FIJO,Sucre,ACTIVO
C00198,2026-05-28,EMPRESARIO,Empresa PYME 627,Educacion,Gerente,155,18401.34,PROPIETARIO,Oruro,ACTIVO
C00199,2026-06-20,DEPENDIENTE,Empresa 291,Comercio,Administrador,93,6228.75,TEMPORAL,Tarija,INACTIVO
C00200,2026-01-06,DEPENDIENTE,Empresa 667,Industria,Tecnico,142,10363.58,TEMPORAL,Potosi,ACTIVO
C00201,2026-07-21,INDEPENDIENTE,Actividad independiente,Comercio,Consultor,67,11841.46,INDEPENDIENTE,Cochabamba,ACTIVO
C00202,2026-02-04,INDEPENDIENTE,Actividad independiente,Banca,Consultor,200,9773.79,INDEPENDIENTE,Cochabamba,ACTIVO
